02e906a1  Mega Man 64 (USA)
04243654  Major League Baseball Featuring Ken Griffey Jr. (USA)
09708fb9  BattleTanx - Global Assault (USA)
11860e27  Bust-A-Move 2 - Arcade Edition (USA)
123d4d7a  Batman Beyond - Return of the Joker (USA)
1558821a  Star Wars Episode I - Battle for Naboo (USA)
28ab6ca1  Top Gear Hyper-Bike (USA)
2e74de9c  Aidyn Chronicles - The First Mage (USA)
33b6a071  Rugrats - Scavenger Hunt (USA)
34a31993  WCW-nWo Revenge (USA)
34c2c4a8  Knife Edge - Nose Gunner (USA)
377e874d  MRC - Multi-Racing Championship (USA)
3884976c  Ken Griffey Jr.'s Slugfest (USA)
3897882c  Bomberman 64 - The Second Attack! (USA)
431a0df7  Rush 2 - Extreme Racing USA (USA)
437b3ee6  Star Wars - Rogue Squadron (USA)
44fc8855  San Francisco Rush - Extreme Racing (USA) (En,Fr,De)
47f55a65  Midway's Greatest Arcade Hits - Volume 1 (USA)
49326676  Turok - Dinosaur Hunter (USA)
4a45416e  Duke Nukem - Zero Hour (USA)
534e58e0  Vigilante 8 - 2nd Offense (USA)
54baf797  Turok 2 - Seeds of Evil (USA)
571f4aa3  Castlevania - Legacy of Darkness (USA)
6101e995  Fighting Force 64 (USA)
6153de1c  WinBack - Covert Operations (USA)
663f3ce1  StarCraft 64 (USA)
6dae3abb  Battlezone - Rise of the Black Dogs (USA)
6e251c9d  NBA Courtside 2 featuring Kobe Bryant (USA)
71858b71  Transformers - Beast Wars Transmetals (USA)
71b58e1b  Carmageddon 64 (USA)
75fafe2c  Toy Story 2 - Buzz Lightyear to the Rescue! (USA)
7721bb23  Deadly Arts (USA)
77a46b7c  Pokemon Puzzle League (USA)
77a7e487  Army Men - Air Combat (USA)
7809ed5d  Rugrats in Paris - The Movie (USA)
796528c0  Rampage 2 - Universal Tour (USA)
7f3a3558  007 - The World Is Not Enough (USA)
84d0e2e4  GT 64 - Championship Edition (USA)
86766168  Rampage - World Tour (USA)
871bbc72  Mace - The Dark Age (USA)
87607bb7  Charlie Blast's Territory (USA)
887a8fe3  FIFA - Road to World Cup 98 (USA) (En,Fr,De,Es,It,Nl,Sv)
8c6894b8  Hercules - The Legendary Journeys (USA)
8decd965  Shadowgate 64 - Trials of the Four Towers (USA) (En,Es)
8ea56d16  Star Wars - Shadows of the Empire (USA)
903404e6  Ms. Pac-Man - Maze Madness (USA)
9684939c  Xena - Warrior Princess - The Talisman of Fate (USA)
96be960f  Turok 3 - Shadow of Oblivion (USA)
9f9267a7  Rocket - Robot on Wheels (USA)
a0c63bac  WCW vs. nWo - World Tour (USA)
a146e44d  Bug's Life, A (USA)
a2fe0cb3  Nuclear Strike 64 (USA)
a5ee8965  Olympic Hockey 98 (USA)
ab10bd70  NFL Blitz - Special Edition (USA)
adf6fa75  Gex 3 - Deep Cover Gecko (USA)
b1ee945c  All Star Tennis 99 (USA)
b372fa05  Ogre Battle 64 - Person of Lordly Caliber (USA)
b4cdf5d8  V-Rally Edition 99 (USA)
ba557b6b  Hot Wheels - Turbo Racing (USA)
ba7f5a1a  Star Soldier - Vanishing Earth (USA)
bb2a1db7  Gex 64 - Enter the Gecko (USA)
bcf9dab5  South Park - Chef's Luv Shack (USA)
be1523cd  Army Men - Sarge's Heroes 2 (USA)
bf3c8a26  Power Rangers - Lightspeed Rescue (USA)
c22a994f  Waialae Country Club - True Golf Classics (USA)
c240e949  Armorines - Project S.W.A.R.M. (USA)
c2880286  NBA Showtime - NBA on NBC (USA)
c2a949f2  Kirby 64 - The Crystal Shards (USA)
c3f94820  Star Wars Episode I - Racer (USA)
cbdb20e0  Army Men - Sarge's Heroes (USA)
d2ac74fa  Starshot - Space Circus Fever (USA) (En,Fr,Es)
d976e47c  Turok - Rage Wars (USA)
dbcfd54b  Scooby-Doo! - Classic Creep Capers (USA)
dd7cbfd6  Mortal Kombat Mythologies - Sub-Zero (USA)
de05bebd  Mission - Impossible (USA)
e0a11622  007 - The World Is Not Enough (USA) (v2) (Beta)
e2207801  Forsaken 64 (USA)
e34100cb  Ready 2 Rumble Boxing - Round 2 (USA)
e487fef7  Rayman 2 - The Great Escape (USA) (En,Fr,De,Es,It)
e61e368a  Mia Hamm Soccer 64 (USA) (En,Es)
f785edb4  International Superstar Soccer '98 (USA)
f79f53cf  Micro Machines 64 Turbo (USA)
fb847357  New Tetris, The (USA)
